Enroll,Seats,CRN,Semester_ID,Course_ID,Title,Times,Days,Site,Instr
68,2,14650,Fall2015,CS 120G,Introduction to Information Literacy and Research,1620-1735,TR,KAUF  0224,"GUPTA, R"
28,2,16113,Fall2015,CS 120G,Introduction to Information Literacy and Research,1620-1735,TR,ECSB 3104,"GUPTA, A"
14,6,19836,Fall2015,CS 120G,Introduction to Information Literacy and Research,TBA,TBA,WEB HR ,"GUPTA, R"
5,7,19837,Fall2015,CS 120G,Introduction to Information Literacy and Research,TBA,TBA,WEB VA ,"GUPTA, R"
3,7,19838,Fall2015,CS 120G,Introduction to Information Literacy and Research,TBA,TBA,WEB NON-VA ,"GUPTA, R"
1,7,21440,Fall2015,CS 120G,Introduction to Information Literacy and Research,TBA,TBA,WEB NON-US ,"GUPTA, R"
17,3,22023,Fall2015,CS 120G,Introduction to Information Literacy and Research,TBA,TBA,WEB HR ,"SYMPSON, W"
5,5,22024,Fall2015,CS 120G,Introduction to Information Literacy and Research,TBA,TBA,WEB VA ,"SYMPSON, W"
2,6,22026,Fall2015,CS 120G,Introduction to Information Literacy and Research,TBA,TBA,WEB NON-VA ,"SYMPSON, W"
56,4,13593,Fall2015,CS 121G,Introduction to Information Literacy and Research for Scientists,0800-0915,TR,DRAGAS 1117,"MESALAMI, A"
40,0,13836,Fall2015,CS 121G,Introduction to Information Literacy and Research for Scientists,0930-1045,TR,ED  0226,"MESALAMI, A"
69,1,13194,Fall2015,CS 121G,Introduction to Information Literacy and Research for Scientists,1745-1900,MW,OCNPS  0200,"SYMPSON, W"
66,4,14250,Fall2015,CS 121G,Introduction to Information Literacy and Research for Scientists,1910-2150,M,OCNPS  0200,"SYMPSON, W"
24,3,21846,Fall2015,CS 121G,Introduction to Information Literacy and Research for Scientists,TBA,TBA,WEB HR ,"GUPTA, A"
2,3,21847,Fall2015,CS 121G,Introduction to Information Literacy and Research for Scientists,TBA,TBA,WEB VA ,"GUPTA, A"
1,3,21848,Fall2015,CS 121G,Introduction to Information Literacy and Research for Scientists,TBA,TBA,WEB NON-VA ,"GUPTA, A"
0,3,21849,Fall2015,CS 121G,Introduction to Information Literacy and Research for Scientists,TBA,TBA,WEB NON-US ,"GUPTA, A"
34,4,21983,Fall2015,CS 150,Problem Solving and Programming I,0930-1200,S,DRAGAS 2118,"GHAZIZADEH, A"
103,0,13843,Fall2015,CS 150,Problem Solving and Programming I,1330-1445,TR,KAUF  0100,"BOYLE, C"
102,1,10616,Fall2015,CS 150,Problem Solving and Programming I,1500-1615,TR,CONST  1005,"BOYLE, C"
103,0,10617,Fall2015,CS 150,Problem Solving and Programming I,1620-1735,TR,CONST  1002,"BOYLE, C"
27,3,16687,Fall2015,CS 250,Problem Solving and Programming II,0930-1200,S,DRAGAS 1115,"MORRIS, J"
47,3,14072,Fall2015,CS 250,Problem Solving and Programming II,1500-1615,MW,OCNPS  0100,"MESALAMI, A"
47,3,10606,Fall2015,CS 250,Problem Solving and Programming II,1620-1735,MW,OCNPS  0100,"MESALAMI, A"
55,1,19861,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB HR ,"ZEIL, S"
2,1,19862,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB VA ,"ZEIL, S"
2,1,19863,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB NON-VA ,"ZEIL, S"
48,1,21495,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB HR ,"ZEIL, S"
7,1,21496,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB VA ,"ZEIL, S"
4,1,21497,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB NON-VA ,"ZEIL, S"
50,0,21832,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB HR ,"ZEIL, S"
8,0,21833,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB VA ,"ZEIL, S"
2,0,21834,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB NON-VA ,"ZEIL, S"
20,35,22248,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB HR ,"ZEIL, S"
2,18,22249,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB VA ,"ZEIL, S"
3,17,22250,Fall2015,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB NON-VA ,"ZEIL, S"
60,0,12765,Fall2015,CS 270,Introduction to Computer Architecture II,0930-1045,TR,DRAGAS 1117,"ZUBAIR, M"
48,2,12900,Fall2015,CS 300T,Computers in Society,0900-0950,MWF,DRAGAS 1117,"KENNEDY, T"
50,0,15291,Fall2015,CS 300T,Computers in Society,1400-1450,MWF,DRAGAS 1117,"MORRIS, J"
5,24,22320,Fall2015,CS 300T,Computers in Society,1100-1150,MWF,WEB CONF HR ,"PRICE, G"
1,9,22321,Fall2015,CS 300T,Computers in Society,1100-1150,MWF,WEB CONF VA ,"PRICE, G"
0,10,22322,Fall2015,CS 300T,Computers in Society,1100-1150,MWF,WEB CONF NON-VA ,"PRICE, G"
10,24,22343,Fall2015,CS 300T,Computers in Society,1100-1150,MWF,GORNTO 0204,"PRICE, G"
0,24,22344,Fall2015,CS 300T,Computers in Society,1100-1150,MWF,VBHEC 0158,"PRICE, G"
21,0,19864,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB HR ,"JOHNSON, K"
25,0,19865,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB VA ,"JOHNSON, K"
4,0,19866,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB NON-VA ,"JOHNSON, K"
25,0,19867,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB HR ,"GUPTA, R"
17,0,19868,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB VA ,"GUPTA, R"
8,0,19869,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB NON-VA ,"GUPTA, R"
42,0,19870,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB HR ,"GUPTA, R"
7,1,19871,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB VA ,"GUPTA, R"
37,1,19872,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB HR ,"WERNER, T"
11,1,19873,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB VA ,"WERNER, T"
0,0,21485,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB NON-US ,"GUPTA, R"
1,1,21820,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB NON-VA ,"WERNER, T"
36,1,21835,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB HR ,"JOHNSON, K"
10,1,21836,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB VA ,"JOHNSON, K"
3,1,21837,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB NON-VA ,"JOHNSON, K"
0,1,21938,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB NON-US ,"JOHNSON, K"
24,0,22148,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB HR ,"GUPTA, R"
16,4,22149,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB VA ,"GUPTA, R"
4,6,22150,Fall2015,CS 300T,Computers in Society,TBA,TBA,WEB NON-VA ,"GUPTA, R"
31,0,19874,Fall2015,CS 330,Object-Oriented Programming and Design,TBA,TBA,WEB HR ,"KENNEDY, T"
19,0,19875,Fall2015,CS 330,Object-Oriented Programming and Design,TBA,TBA,WEB VA ,"KENNEDY, T"
38,0,21550,Fall2015,CS 330,Object-Oriented Programming and Design,TBA,TBA,WEB HR ,"ZEIL, S"
6,0,21551,Fall2015,CS 330,Object-Oriented Programming and Design,TBA,TBA,WEB VA ,"ZEIL, S"
1,0,21552,Fall2015,CS 330,Object-Oriented Programming and Design,TBA,TBA,WEB NON-VA ,"ZEIL, S"
24,4,19877,Fall2015,CS 333,Programming and Problem Solving in C++,TBA,TBA,WEB HR ,"KENNEDY, T"
16,4,19878,Fall2015,CS 333,Programming and Problem Solving in C++,TBA,TBA,WEB VA ,"KENNEDY, T"
6,4,19879,Fall2015,CS 333,Programming and Problem Solving in C++,TBA,TBA,WEB NON-VA ,"KENNEDY, T"
11,0,22144,Fall2015,CS 333,Programming and Problem Solving in C++,TBA,TBA,WEB HR ,"WERNER, T"
8,18,22145,Fall2015,CS 333,Programming and Problem Solving in C++,TBA,TBA,WEB VA ,"WERNER, T"
3,17,22146,Fall2015,CS 333,Programming and Problem Solving in C++,TBA,TBA,WEB NON-VA ,"WERNER, T"
15,10,21566,Fall2015,CS 350,Introduction to Software Engineering,0930-1200,S,DRAGAS 1117,"RIZVI, S"
36,0,19813,Fall2015,CS 350,Introduction to Software Engineering,TBA,TBA,WEB HR ,"ZEIL, S"
12,0,19814,Fall2015,CS 350,Introduction to Software Engineering,TBA,TBA,WEB VA ,"ZEIL, S"
2,0,19815,Fall2015,CS 350,Introduction to Software Engineering,TBA,TBA,WEB NON-VA ,"ZEIL, S"
47,0,13846,Fall2015,CS 355,Principles of Programming Languages,1200-1250,MWF,DRAGAS 1117,"MORRIS, J"
54,0,17336,Fall2015,CS 361,Advanced Data Structures and Algorithms,1100-1150,MWF,DRAGAS 1117,"MORRIS, J"
32,8,10832,Fall2015,CS 361,Advanced Data Structures and Algorithms,1620-1900,M,DRAGAS 1117,"NADEEM, T"
0,20,10588,Fall2015,CS 367,Cooperative Education,TBA,TBA,TBA,"BRUNELLE, J"
0,20,10589,Fall2015,CS 367,Cooperative Education,TBA,TBA,TBA,"BRUNELLE, J"
2,18,10590,Fall2015,CS 367,Cooperative Education,TBA,TBA,TBA,"BRUNELLE, J"
0,20,10591,Fall2015,CS 368,Computer Science Internship,TBA,TBA,TBA,"BRUNELLE, J"
0,20,10592,Fall2015,CS 368,Computer Science Internship,TBA,TBA,TBA,"BRUNELLE, J"
3,17,10593,Fall2015,CS 368,Computer Science Internship,TBA,TBA,TBA,"BRUNELLE, J"
50,0,10604,Fall2015,CS 381,DISCRETE STRUCTURES,1330-1445,TR,DRAGAS 1117,"HE, J"
17,0,19752,Fall2015,CS 381,Introduction to Discrete Structures,1100-1215,TR,GORNTO 0218,"CHERNIKOV, A"
2,0,19753,Fall2015,CS 381,Introduction to Discrete Structures,1100-1215,TR,VBHEC 0153,"CHERNIKOV, A"
0,0,19754,Fall2015,CS 381,Introduction to Discrete Structures,1100-1215,TR,PEN CTR ,"CHERNIKOV, A"
0,0,19755,Fall2015,CS 381,Introduction to Discrete Structures,1100-1215,TR,TRICITIES,"CHERNIKOV, A"
16,0,19756,Fall2015,CS 381,Introduction to Discrete Structures,1100-1215,TR,WEB CONF HR ,"CHERNIKOV, A"
15,0,19757,Fall2015,CS 381,Introduction to Discrete Structures,1100-1215,TR,WEB CONF VA ,"CHERNIKOV, A"
0,0,19758,Fall2015,CS 381,Introduction to Discrete Structures,1100-1215,TR,WEB CONF NON-VA ,"CHERNIKOV, A"
10,20,19880,Fall2015,CS 382,Introduction to JAVA,TBA,TBA,WEB HR ,"ZEIL, S"
6,24,19881,Fall2015,CS 382,Introduction to JAVA,TBA,TBA,WEB VA ,"ZEIL, S"
1,9,19882,Fall2015,CS 382,Introduction to JAVA,TBA,TBA,WEB NON-VA ,"ZEIL, S"
28,17,10605,Fall2015,CS 390,Introduction to Theoretical Computer Science,1000-1050,MWF,DRAGAS 1117,"MORRIS, J"
19,0,15070,Fall2015,CS 410,PROF WORKFORCE DEV 1 (LECT),1300-1450,M,DRAGAS 1105,"PRICE, G"
19,0,15070,Fall2015,CS 410,PROF WORKFORCE DEV 1 (LECT),1300-1350,W,DRAGAS 1105,"PRICE, G"
15,0,19767,Fall2015,CS 410,Professional Workforce Development I,TBA,TBA,WEB HR ,"BRUNELLE, J"
4,0,19768,Fall2015,CS 410,Professional Workforce Development I,TBA,TBA,WEB VA ,"BRUNELLE, J"
1,0,19769,Fall2015,CS 410,Professional Workforce Development I,TBA,TBA,WEB NON-VA ,"BRUNELLE, J"
20,0,19780,Fall2015,CS 411W,Professional Workforce Development II,TBA,TBA,WEB HR ,"BRUNELLE, J"
6,0,19781,Fall2015,CS 411W,Professional Workforce Development II,TBA,TBA,WEB VA ,"BRUNELLE, J"
3,0,19782,Fall2015,CS 411W,Professional Workforce Development II,TBA,TBA,WEB NON-VA ,"BRUNELLE, J"
22,4,12766,Fall2015,CS 417,Computational Methods and Software,1620-1735,MW,ECSB 2120,"LI, W"
14,1,15483,Fall2015,CS 441,App Development for Smart Devices,1910-2150,M,DRAGAS 1105,"NADEEM, T"
14,6,17851,Fall2015,CS 450,Database Concepts,1500-1615,TR,DRAGAS 1117,"LEVINSTEIN, I"
11,9,10883,Fall2015,CS 455,Introduction to Networks and Communications,0800-1030,F,DRAGAS 1115,"MESALAMI, A"
14,16,10913,Fall2015,CS 460,Computer Graphics,1500-1615,MW,DRAGAS 1117,"PRICE, G"
20,0,19883,Fall2015,CS 462,Cybersecurity Fundamentals,TBA,TBA,WEB HR ,"WEIGLE, M"
12,0,19884,Fall2015,CS 462,Cybersecurity Fundamentals,TBA,TBA,WEB VA ,"WEIGLE, M"
3,0,19885,Fall2015,CS 462,Cybersecurity Fundamentals,TBA,TBA,WEB NON-VA ,"WEIGLE, M"
26,0,19887,Fall2015,CS 463,Cryptography for Cybersecurity,TBA,TBA,WEB HR ,"CARTLEDGE, C"
13,0,19888,Fall2015,CS 463,Cryptography for Cybersecurity,TBA,TBA,WEB VA ,"CARTLEDGE, C"
1,0,19889,Fall2015,CS 463,Cryptography for Cybersecurity,TBA,TBA,WEB NON-VA ,"CARTLEDGE, C"
19,0,19739,Fall2015,CS 471,Operating Systems,1200-1250,MWF,GORNTO 0219,"PRICE, G"
2,0,19742,Fall2015,CS 471,Operating Systems,1200-1250,MWF,VBHEC 0158,"PRICE, G"
0,0,19744,Fall2015,CS 471,Operating Systems,1200-1250,MWF,PEN CTR ,"PRICE, G"
0,0,19745,Fall2015,CS 471,Operating Systems,1200-1250,MWF,TRICITIES,"PRICE, G"
15,0,19747,Fall2015,CS 471,Operating Systems,1200-1250,MWF,WEB CONF HR ,"PRICE, G"
12,0,19749,Fall2015,CS 471,Operating Systems,1200-1250,MWF,WEB CONF VA ,"PRICE, G"
3,0,19750,Fall2015,CS 471,Operating Systems,1200-1250,MWF,WEB CONF NON-VA ,"PRICE, G"
4,16,10749,Fall2015,CS 476,Systems Programming,1910-2150,T,ECSB 2120,"ABDEL-WAHAB, H"
10,10,15447,Fall2015,CS 480,Introduction to Artificial Intelligence,1100-1215,TR,ECSB 2120,"LI, Y"
0,20,10594,Fall2015,CS 497,Independent Study in Computer Science,TBA,TBA,TBA,"BRUNELLE, J"
0,20,10595,Fall2015,CS 497,Independent Study in Computer Science,TBA,TBA,TBA,"BRUNELLE, J"
0,20,10596,Fall2015,CS 497,Independent Study in Computer Science,TBA,TBA,TBA,"BRUNELLE, J"
4,4,17848,Fall2015,CS 517,Computational Methods and Software,1620-1735,MW,ECSB 2120,"LI, W"
4,7,15484,Fall2015,CS 541,App Development for Smart Devices,1910-2150,M,DRAGAS 1105,"NADEEM, T"
22,9,14666,Fall2015,CS 550,Database Concepts,1500-1615,TR,DRAGAS 1117,"LEVINSTEIN, I"
17,17,10884,Fall2015,CS 555,Introduction to Networks and Communications,0800-1030,F,DRAGAS 1115,"MESALAMI, A"
29,0,19886,Fall2015,CS 562,Cybersecurity Fundamentals,TBA,TBA,WEB HR ,"WEIGLE, M"
4,0,21329,Fall2015,CS 562,Cybersecurity Fundamentals,TBA,TBA,WEB VA ,"WEIGLE, M"
2,0,21330,Fall2015,CS 562,Cybersecurity Fundamentals,TBA,TBA,WEB NON-VA ,"WEIGLE, M"
7,0,19890,Fall2015,CS 563,Cryptography for Cybersecurity,TBA,TBA,WEB HR ,"CARTLEDGE, C"
2,0,21331,Fall2015,CS 563,Cryptography for Cybersecurity,TBA,TBA,WEB VA ,"CARTLEDGE, C"
1,0,21332,Fall2015,CS 563,Cryptography for Cybersecurity,TBA,TBA,WEB NON-VA ,"CARTLEDGE, C"
6,14,10750,Fall2015,CS 576,Systems Programming,1910-2150,T,ECSB 2120,"ABDEL-WAHAB, H"
1,14,15448,Fall2015,CS 580,Introduction to Artificial Intelligence,1100-1215,TR,ECSB 2120,"LI, Y"
24,6,12510,Fall2015,CS 600,Algorithms and Data Structures,1135-1250,MF,ECSB 2120,"RANJAN, D"
26,9,13849,Fall2015,CS 665,Computer Architecture,1500-1730,F,DRAGAS 1117,"OLARIU, S"
8,21,19894,Fall2015,CS 723,Introduction to Bioinformatics,TBA,TBA,WEB HR ,"HE, J"
1,21,19895,Fall2015,CS 723,Introduction to Bioinformatics,TBA,TBA,WEB VA ,"HE, J"
0,5,19896,Fall2015,CS 723,Introduction to Bioinformatics,TBA,TBA,WEB NON-VA ,"HE, J"
17,9,19898,Fall2015,CS 724,High Performance Computing and Big Data,TBA,TBA,WEB HR ,"ZUBAIR, M"
2,9,19899,Fall2015,CS 724,High Performance Computing and Big Data,TBA,TBA,WEB VA ,"ZUBAIR, M"
0,5,19900,Fall2015,CS 724,High Performance Computing and Big Data,TBA,TBA,WEB NON-VA ,"ZUBAIR, M"
3,11,19986,Fall2015,CS 734,Introduction to Information Retrieval,1620-1900,R,DRAGAS 1117,"NELSON, M"
12,0,11389,Fall2015,CS 772,N/W SECUR CNCPT-PRTCL-PRGRM,1910-2150,W,ECSB 2120,"ABDEL-WAHAB, H"
3,9,21632,Fall2015,CS 776,Architectural Support for Cloud Computing,0800-1030,F,ECSB 2120,"OLARIU, S"
1,9,14729,Fall2015,CS 795,TPC;ADV COMPUTATIONAL GEOMETRY,TBA,TBA,TBA,"CHERNIKOV, A"
10,4,19987,Fall2015,CS 795,TPCS; ADV SYSTEMS PROGRAMMING,TBA,TBA,TBA,"ABDEL-WAHAB, H"
0,0,22563,Fall2015,CS 795,Topics in Computer Science,TBA,TBA,TBA,"LI, Y"
2,8,19901,Fall2015,CS 824,High Performance Computing and Big Data,TBA,TBA,WEB HR ,"ZUBAIR, M"
6,9,20004,Fall2015,CS 834,Introduction to Information Retrieval,1620-1900,R,DRAGAS 1117,"NELSON, M"
3,0,11390,Fall2015,CS 872,N/W SECUR CNCPT-PRTCL-PRGRM,1910-2150,W,ECSB 2120,"ABDEL-WAHAB, H"
3,9,21633,Fall2015,CS 876,Architectural Support for Cloud Computing,0800-1030,F,ECSB 2120,"OLARIU, S"
0,9,14730,Fall2015,CS 895,TPC;ADV COMPUTATIONAL GEOMETRY,TBA,TBA,TBA,"CHERNIKOV, A"
2,13,15455,Fall2015,CS 895,TPC;PROTEIN STRUCTURE MODELING,TBA,TBA,TBA,"LI, Y"
1,4,19988,Fall2015,CS 895,TPCS; ADV SYSTEMS PROGRAMMING,TBA,TBA,TBA,"ABDEL-WAHAB, H"
69,1,22922,Spring2016,CS 120G,Introduction to Information Literacy and Research,1500-1615,MW,OCNPS  0100,"GUPTA, R"
71,0,23944,Spring2016,CS 120G,Introduction to Information Literacy and Research,1620-1735,MW,OCNPS  0100,"GUPTA, R"
23,4,28802,Spring2016,CS 120G,Introduction to Information Literacy and Research,TBA,TBA,ODU ONLINE HR ,"GUPTA, R"
6,4,28803,Spring2016,CS 120G,Introduction to Information Literacy and Research,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"GUPTA, R"
7,4,28805,Spring2016,CS 120G,Introduction to Information Literacy and Research,TBA,TBA,ODU ONLINE NON-VA ,"GUPTA, R"
0,4,32383,Spring2016,CS 120G,Introduction to Information Literacy and Research,TBA,TBA,ODU ONLINE NON-US ,"GUPTA, R"
11,1,28807,Spring2016,CS 120G,INTRO INFO LITERACY&RSCH (REC),1745-1835,M,ODU ONLINE HR ,"STAFF,"
4,1,28809,Spring2016,CS 120G,INTRO INFO LITERACY&RSCH (REC),1745-1835,M,ODU ONLINE STUDENTS IN VA ,"STAFF,"
4,1,28810,Spring2016,CS 120G,INTRO INFO LITERACY&RSCH (REC),1745-1835,M,ODU ONLINE NON-VA ,"STAFF,"
0,1,32382,Spring2016,CS 120G,INTRO INFO LITERACY&RSCH (REC),1745-1835,M,ODU ONLINE NON-US ,"STAFF,"
12,3,29622,Spring2016,CS 120G,INTRO INFO LITERACY&RSCH (REC),1745-1835,W,ODU ONLINE HR ,"STAFF,"
2,3,29623,Spring2016,CS 120G,INTRO INFO LITERACY&RSCH (REC),1745-1835,W,ODU ONLINE STUDENTS IN VA ,"STAFF,"
3,3,29624,Spring2016,CS 120G,INTRO INFO LITERACY&RSCH (REC),1745-1835,W,ODU ONLINE NON-VA ,"STAFF,"
70,0,22926,Spring2016,CS 121G,INTRO INFO LITERACY-SCIENTISTS,0800-0915,TR,KAUF  0100,"MESALAMI, A"
70,0,22925,Spring2016,CS 121G,INTRO INFO LITERACY-SCIENTISTS,0930-1045,TR,OCNPS  0100,"MESALAMI, A"
35,0,23688,Spring2016,CS 121G,INTRO INFO LITERACY-SCIENTISTS,1620-1735,MW,ECSB 3104,"GUPTA, A"
70,0,23419,Spring2016,CS 121G,INTRO INFO LITERACY-SCIENTISTS,1745-1900,MW,OCNPS  0100,"SYMPSON, W"
36,1,28811,Spring2016,CS 121G,Introduction to Information Literacy and Research for Scientists,TBA,TBA,ODU ONLINE HR ,"GUPTA, A"
3,1,28812,Spring2016,CS 121G,Introduction to Information Literacy and Research for Scientists,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"GUPTA, A"
0,1,28813,Spring2016,CS 121G,Introduction to Information Literacy and Research for Scientists,TBA,TBA,ODU ONLINE NON-VA ,"GUPTA, A"
27,8,30654,Spring2016,CS 121G,Introduction to Information Literacy and Research for Scientists,TBA,TBA,ODU ONLINE HR ,"SYMPSON, W"
4,8,30655,Spring2016,CS 121G,Introduction to Information Literacy and Research for Scientists,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"SYMPSON, W"
1,8,30656,Spring2016,CS 121G,Introduction to Information Literacy and Research for Scientists,TBA,TBA,ODU ONLINE NON-VA ,"SYMPSON, W"
30,0,32391,Spring2016,CS 150,PROBLEM SOLVING & PROGRAMMNG I,0830-1100,S,ECSB 3104,"DECKER, L"
103,0,20795,Spring2016,CS 150,PROBLEM SOLVING & PROGRAMMNG I,1330-1445,TR,KAUF  0100,"BOYLE, C"
103,0,20796,Spring2016,CS 150,PROBLEM SOLVING & PROGRAMMNG I,1500-1615,TR,CONST  1005,"BOYLE, C"
103,0,22485,Spring2016,CS 150,PROBLEM SOLVING & PROGRAMMNG I,1745-1900,TR,OCNPS  0200,"BOYLE, C"
20,0,32300,Spring2016,CS 170,Introduction to Computer Architecture I,1330-1445,TR,ECSB 2120,"LI, Y"
59,1,22287,Spring2016,CS 170,Introduction to Computer Architecture I,1500-1615,TR,CONST  1002,"LI, Y"
27,8,26782,Spring2016,CS 250,PROBLEM SOLVING & PRGRMNG II,0930-1200,S,DRAGAS 1115,"MORRIS, J"
49,1,20794,Spring2016,CS 250,PROBLEM SOLVING & PRGRMNG II,1500-1615,MW,DRAGAS 1117,"MESALAMI, A"
49,1,22486,Spring2016,CS 250,PROBLEM SOLVING & PRGRMNG II,1620-1735,MW,DRAGAS 1117,"MESALAMI, A"
59,0,29092,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE HR ,"ZEIL, S"
0,0,29094,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"ZEIL, S"
1,0,29095,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE NON-VA ,"ZEIL, S"
50,0,29096,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE HR ,"ZEIL, S"
7,0,29097,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"ZEIL, S"
3,0,29099,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE NON-VA ,"ZEIL, S"
46,0,32674,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE HR ,"ZEIL, S"
12,0,32675,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"ZEIL, S"
2,0,32676,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE NON-VA ,"ZEIL, S"
16,38,32905,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE HR ,"ZEIL, S"
4,38,32906,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"ZEIL, S"
2,38,32907,Spring2016,CS 252,Introduction to Unix for Programmers,TBA,TBA,ODU ONLINE NON-VA ,"ZEIL, S"
23,27,27517,Spring2016,CS 270,Introduction to Computer Architecture II,1620-1735,TR,DRAGAS 1117,"FLORIN, R"
33,0,29102,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE HR ,"GUPTA, R"
14,0,29104,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"GUPTA, R"
3,0,29105,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE NON-VA ,"GUPTA, R"
38,0,29106,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE HR ,"GUPTA, R"
9,0,29108,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"GUPTA, R"
3,0,29110,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE NON-VA ,"GUPTA, R"
41,0,29111,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE HR ,"MALY, K"
8,0,29112,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"MALY, K"
0,0,29113,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE NON-VA ,"MALY, K"
34,0,29115,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE HR ,"WERNER, T"
14,0,29116,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"WERNER, T"
2,0,29118,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE NON-VA ,"WERNER, T"
42,0,29121,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE HR ,"JOHNSON, K"
8,0,29122,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"JOHNSON, K"
0,0,29123,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE NON-VA ,"JOHNSON, K"
39,0,30527,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE HR ,"KENNEDY, T"
6,0,30528,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"KENNEDY, T"
5,0,30529,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE NON-VA ,"KENNEDY, T"
1,0,32390,Spring2016,CS 300T,Computers in Society,TBA,TBA,ODU ONLINE NON-US ,"MALY, K"
51,0,21852,Spring2016,CS 330,Object-Oriented Programming and Design,1500-1615,TR,DRAGAS 1117,"KENNEDY, T"
34,0,29126,Spring2016,CS 330,Object-Oriented Programming and Design,TBA,TBA,ODU ONLINE HR ,"KENNEDY, T"
10,0,29128,Spring2016,CS 330,Object-Oriented Programming and Design,TBA,TBA,ODU ONLINE STUDENTS IN VA ,"KENNEDY, T"
6,0,29129,Spring2016,CS 330,Object-Oriented Programming and Design,TBA,TBA,ODU ONLINE NON-VA ,"KENNEDY, T"
23,0,29130,Spring2016,CS 333,Programming and Problem Solving in C++,TBA,TBA,ODU ONLINE HR ,"CARTLEDGE, C"
